temperature_avg,temperature_min,temperature_max,rainfall,soil_moisture,soil_ph,nitrogen,phosphorus,potassium,organic_fertilizer,crop_rotation,cover_crops,yield_kg_per_ha
27.483570765056164,17.68485989188416,33.1332142151074,5.443222463322321,34.85901034093328,6.83625984917051,67.1627226409007,16.597770506099387,247.44741114035483,0,0,0,7385.013003718072
24.308678494144075,15.459411128318537,31.01964115271304,19.609908402330927,41.80215455902823,6.109495528225908,127.77400965253017,12.386125258917183,262.14005410299717,0,1,0,8952.960104551157
28.23844269050346,21.119181950663112,33.65360284850354,29.692437893166396,33.01150256482349,6.629941617459649,105.4599822379968,17.513986472627884,280.88585378878923,0,0,1,8080.64356961037
32.61514928204013,26.909022837451275,38.99922622276205,137.11061814750158,17.92162073860456,6.027068346051838,101.40132908059145,20.242424368522755,179.92541591962558,0,1,0,7452.38785374916
23.829233126383322,15.432786499156142,27.04200379247575,59.40436333980793,38.3246808375887,6.629978996821846,102.43134494502817,10.070947517622635,176.27747522655162,1,1,0,9038.182443168535
23.8293152152541,16.0423444444106,31.255902629999976,9.02197011100987,45.065957152777,6.5266060985517695,77.27632765026186,19.881868364897418,152.90924892763348,1,0,1,8330.255473024454
32.896064077536955,24.10567763748149,39.8984750282614,38.71704731475673,47.82135740360131,6.089569989918548,106.30790451479677,19.65437255968622,215.40637321680668,0,1,1,9573.98757895162
28.837173645764544,20.566830042400603,34.20299638362816,100.77578427437336,31.216481174002336,7.279091815381344,65.38805855784494,16.465255454607778,236.64337912278495,0,1,0,8216.501516195869
22.65262807032524,13.55352263968657,30.97111940719005,25.52675466557731,36.453180553257376,5.6471820249188065,155.62923418076718,12.310125609594436,174.33354066612478,0,1,0,8126.981661564004
27.712800217929825,21.78327064105096,36.58794049318294,84.96846236989622,35.50536342792911,6.429189508494736,170.7698916203165,19.67728682424388,192.90923511654194,0,0,1,7568.2082812309945
22.682911535937688,13.048123404669036,26.46779180719974,9.351267223848675,49.89802631571354,6.078547217837845,50.218088598324854,17.541564780812617,97.3141102190468,1,1,0,8450.432979702951
22.671351232148716,15.276152022763917,28.145901675016287,0.8087018846829944,26.89511417626683,7.417101017928137,105.92611022027735,9.920201684027163,275.4724525201325,1,0,1,7602.27440806615
